ecosystem,model,dataset,repetition,phase,energy_j,duration_s,gpu_j,cpu_j,power_w
Python/JAX,resnet18,fashionmnist,2,Training,19422.904796,52.530267,16314.273,3108.631796,369.74692696688555
Python/JAX,resnet18,fashionmnist,3,Inference,1327.555119,7.477076,889.472,438.083119,177.55003680583158
Python/JAX,resnet18,fashionmnist,3,Training,19067.543742,52.285639,16006.632,3060.911742,364.6803234440723
Python/JAX,resnet18,fashionmnist,4,Inference,1338.895328,7.2740409999999995,910.91,427.985328,184.06485858410753
Python/JAX,resnet18,fashionmnist,4,Training,19169.606295999998,52.613994,16096.69,3072.916296,364.3442521394593
Python/JAX,resnet18,tinyimagenet,0,Inference,4064.545725,22.598299,2823.564,1240.981725,179.86069327607356
Python/JAX,resnet18,tinyimagenet,0,Training,52640.286495,223.615784,40166.005,12474.281495,235.40505752044768
Python/JAX,resnet18,tinyimagenet,1,Inference,3995.851843,21.717953,2752.5860000000002,1243.265843,183.98841930452653
Python/JAX,resnet18,tinyimagenet,1,Training,53951.641908,217.378277,41290.289,12661.352908,248.1924259064764
Python/JAX,resnet18,tinyimagenet,2,Inference,4043.575659,22.189998,2797.319,1246.2566590000001,182.2251475191661
Python/JAX,resnet18,tinyimagenet,2,Training,53056.544404,220.49555900000001,40466.394,12590.150404,240.6240953088765
Python/JAX,resnet18,tinyimagenet,3,Inference,3945.619191,21.945567,2728.159,1217.4601910000001,179.7911710825243
Python/JAX,resnet18,tinyimagenet,3,Training,52248.952437,221.009426,39718.275,12530.677437,236.41051597953114
Python/JAX,resnet18,tinyimagenet,4,Inference,4018.7348039999997,21.872999,2779.576,1239.158804,183.73039764688875
Python/JAX,resnet18,tinyimagenet,4,Training,54020.110642,218.386073,41432.18,12587.930642,247.36060271572353
Python/JAX,vgg16,cifar100,0,Inference,3404.653505,10.1184,2810.303,594.350505,336.48141059851366
Python/JAX,vgg16,cifar100,0,Training,59956.864418,154.159297,51985.852,7971.012418,388.92798283842717
Python/JAX,vgg16,cifar100,1,Inference,3380.675722,10.027325,2784.203,596.472722,337.1463198809254
Python/JAX,vgg16,cifar100,1,Training,60578.125673,155.240948,52464.112,8114.013673,390.220018966903
Python/JAX,vgg16,cifar100,2,Inference,3297.400524,10.037054,2699.641,597.7595239999999,328.52274422355407
Python/JAX,vgg16,cifar100,2,Training,60656.96403,155.23395,52461.525,8195.43903,390.745478228184
Python/JAX,vgg16,cifar100,3,Inference,3300.506869,9.966117,2704.387,596.119869,331.17279969721403
Python/JAX,vgg16,cifar100,3,Training,60178.531132000004,154.099253,52068.381,8110.150132,390.51799382830234
Python/JAX,vgg16,cifar100,4,Inference,3440.100193,9.946179,2838.508,601.592193,345.8715344857558
Python/JAX,vgg16,cifar100,4,Training,60591.558259,155.14290499999998,52401.342,8190.216259,390.55320163690374
Python/JAX,vgg16,fashionmnist,0,Inference,3107.963268,9.475283,2569.724,538.239268,328.00743450090096
Python/JAX,vgg16,fashionmnist,0,Training,72215.702681,184.965806,62692.948000000004,9522.754681,390.42731325702437
Python/JAX,vgg16,fashionmnist,1,Inference,3188.838626,9.469777,2649.858,538.980626,336.73851306107844
Python/JAX,vgg16,fashionmnist,1,Training,72402.48253000001,185.004704,62881.523,9520.95953,391.35481944286136
Python/JAX,vgg16,fashionmnist,2,Inference,3158.81441,9.447446,2629.146,529.66841,334.35643982511255
Python/JAX,vgg16,fashionmnist,2,Training,72396.845211,185.328044,62977.707,9419.138211,390.64160851446746
Python/JAX,vgg16,fashionmnist,3,Inference,3015.707998,9.427001,2492.179,523.528998,319.90110089094077
Python/JAX,vgg16,fashionmnist,3,Training,71923.835228,184.742269,62665.104,9258.731228,389.3198650060967
Python/JAX,vgg16,fashionmnist,4,Inference,3149.986636,9.56058,2609.367,540.619636,329.47652088053235
Python/JAX,vgg16,fashionmnist,4,Training,72384.14089,185.105394,62860.546,9523.59489,391.04285037744495
Python/JAX,vgg16,tinyimagenet,0,Inference,6729.835357,22.327338,5442.902,1286.9333570000001,301.4168261796368
Python/JAX,vgg16,tinyimagenet,0,Training,122955.708711,309.2809,105466.139,17489.569711,397.55351433276354
Python/JAX,vgg16,tinyimagenet,1,Inference,6743.094436,22.400544,5470.715,1272.379436,301.02369103178927
Python/JAX,vgg16,tinyimagenet,1,Training,122348.915299,307.809063,105153.198,17195.717299,397.48314785325215
Python/JAX,vgg16,tinyimagenet,2,Inference,6534.741457,22.146983,5299.242,1235.499457,295.0623774353374
