model,dataset,phase,a,b,median_a_J,median_b_J,p_raw,p_holm,significant,cliffs_delta,magnitude
resnet18,tinyimagenet,Inference,Python/JAX,Python/PyTorch,4018.7,10655.9,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Inference,Python/JAX,Python/TensorFlow,4018.7,4208.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Inference,Python/JAX,R/torch,4018.7,72015.6,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Inference,Python/PyTorch,Python/TensorFlow,10655.9,4208.3,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,tinyimagenet,Inference,Python/PyTorch,R/torch,10655.9,72015.6,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Inference,Python/TensorFlow,R/torch,4208.3,72015.6,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Training,Cpp/LibTorch,Java/DL4J,63871.1,505507.8,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Training,Cpp/LibTorch,Python/JAX,63871.1,53056.5,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,tinyimagenet,Training,Cpp/LibTorch,Python/PyTorch,63871.1,205970.4,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Training,Cpp/LibTorch,Python/TensorFlow,63871.1,69355.6,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Training,Cpp/LibTorch,R/torch,63871.1,543960.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Training,Java/DL4J,Python/JAX,505507.8,53056.5,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,tinyimagenet,Training,Java/DL4J,Python/PyTorch,505507.8,205970.4,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,tinyimagenet,Training,Java/DL4J,Python/TensorFlow,505507.8,69355.6,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,tinyimagenet,Training,Java/DL4J,R/torch,505507.8,543960.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Training,Python/JAX,Python/PyTorch,53056.5,205970.4,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Training,Python/JAX,Python/TensorFlow,53056.5,69355.6,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Training,Python/JAX,R/torch,53056.5,543960.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Training,Python/PyTorch,Python/TensorFlow,205970.4,69355.6,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,tinyimagenet,Training,Python/PyTorch,R/torch,205970.4,543960.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Training,Python/TensorFlow,R/torch,69355.6,543960.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,cifar100,Inference,Cpp/LibTorch,Java/DL4J,5423.8,32658.4,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Inference,Cpp/LibTorch,Python/JAX,5423.8,3380.7,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Inference,Cpp/LibTorch,Python/PyTorch,5423.8,10369.9,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Inference,Cpp/LibTorch,Python/TensorFlow,5423.8,3839.7,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Inference,Cpp/LibTorch,R/torch,5423.8,63117.6,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Inference,Cpp/LibTorch,Rust/tch,5423.8,8737.0,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Inference,Java/DL4J,Python/JAX,32658.4,3380.7,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Inference,Java/DL4J,Python/PyTorch,32658.4,10369.9,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Inference,Java/DL4J,Python/TensorFlow,32658.4,3839.7,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Inference,Java/DL4J,R/torch,32658.4,63117.6,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Inference,Java/DL4J,Rust/tch,32658.4,8737.0,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Inference,Python/JAX,Python/PyTorch,3380.7,10369.9,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Inference,Python/JAX,Python/TensorFlow,3380.7,3839.7,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Inference,Python/JAX,R/torch,3380.7,63117.6,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Inference,Python/JAX,Rust/tch,3380.7,8737.0,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Inference,Python/PyTorch,Python/TensorFlow,10369.9,3839.7,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Inference,Python/PyTorch,R/torch,10369.9,63117.6,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Inference,Python/PyTorch,Rust/tch,10369.9,8737.0,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Inference,Python/TensorFlow,R/torch,3839.7,63117.6,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Inference,Python/TensorFlow,Rust/tch,3839.7,8737.0,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Inference,R/torch,Rust/tch,63117.6,8737.0,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Training,Cpp/LibTorch,Java/DL4J,146071.3,476834.4,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Training,Cpp/LibTorch,Python/JAX,146071.3,60578.1,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Training,Cpp/LibTorch,Python/PyTorch,146071.3,156907.1,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Training,Cpp/LibTorch,Python/TensorFlow,146071.3,93624.9,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Training,Cpp/LibTorch,R/torch,146071.3,246684.3,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Training,Cpp/LibTorch,Rust/tch,146071.3,160503.6,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Training,Java/DL4J,Python/JAX,476834.4,60578.1,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Training,Java/DL4J,Python/PyTorch,476834.4,156907.1,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Training,Java/DL4J,Python/TensorFlow,476834.4,93624.9,0.007936507936507936,0.16666666666666666,False,1.0,large
